ACCE_ABSORB_COST	Aufnahmepreis: %d
TOOLTIP_MALL_SAFEBOX	Es steht mehr Lagerraum zur Verfügung.	SNA
TOOLTIP_MAX_HP	Max. TP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. TP +%d%%	SA
TOOLTIP_MAX_SP	Max. MP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. MP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. Ausdauer +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Magie-/Nahkampfangriff +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS-FEHLER(%d, %d)
TOOLTIP_MOB_HIT_MOB_AGGRESSIVE	Beim Angriff besteht eine Chance von %d%%, dass alle umstehenden Monster dich angreifen (Tapferkeitsumhang)	SA
TOOLTIP_MORE_THEN_HP90_DAMAGE_REDUCE	Hast du mehr als 90%% TP, reduziert sich dein erhaltener Schaden um %d%%.	SA
TOOLTIP_MOUNT_MELEE_MAGIC_ATTBONUS_PER	Beim Aufsteigen auf ein Reittier wird der Schaden 10 Sekunden lang um +%d%% erhöht	SA
TOOLTIP_MOUNT_NO_KNOCKBACK	Bei Angriff vom Reittier aus besteht eine Chance von %d%%, 20 Sekunden lang Gegner niederzureiten	SA
TOOLTIP_MOV_SPEED	Bewegungsgeschw. %d%%	SA
TOOLTIP_NECK	Halskette
TOOLTIP_NEED_ALL_SP	Benötigte MP: Max.
TOOLTIP_NEED_GSP	Benötigter Drachengeist: %d
TOOLTIP_NEED_HP	Benötigte TP: %d
TOOLTIP_NEED_HP_PER_SEC	TP / Sek.: %d
TOOLTIP_NEED_SKILL_POINT	Benötigte Fertigkeitspunkte:
TOOLTIP_NEED_SP	Benötigte MP: %d
TOOLTIP_NEED_SP_PER_SEC	MP / Sek.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Nächstes Level: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Nächstes Level: %d (Max. %d-%d)
TOOLTIP_NORMAL_DAMAGE_GUARD	Angriffsschaden geblockt mit %d%% Chance	SA
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Durchschn. Schaden %d%%	SA
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS_BOSS_OR_MORE	Angriffsschaden gegen Bosse +%d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Durchschn. Schadenswiderstand %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS_BOSS_OR_MORE	Angriffsschaden von Bossen -%d%%	SA
TOOLTIP_NO_DEATH_AND_HP_RECOVERY30	Du hast %d%% Chance, dem Tod zu entgehen und 30%% deiner Gesamt-HP wiederherzustellen	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Mehr als %d Gruppenmitglieder
TOOLTIP_PARTY_INFO_GRADE_UP2	Angriffsstufe +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Verteidigungsstufe +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	TP/MP aller Gruppenmitglieder einmal in 60 Minuten wiederherstellen.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	TP/MP aller Gruppenmitglieder einmal in 30 Minuten wiederherstellen.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Du musst drei Minuten nach dem Tod des Gruppenmitglieds warten.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Du kannst jederzeit Gruppenmitglieder auf dem gleichen Server herbeirufen.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Angriffsstufe +(Anzahl der Gruppenmitgl./2) Angreifer %d können ausgewählt werden.
TOOLTIP_PARTY_INFO_SET_TANKER	Verteidigungsstufe +(Anzahl der Gruppenmitgl.) Nahkämpfer 1 können ausgewählt werden.
TOOLTIP_PARTY_SKILL_LEVEL	Aktuelles Level: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Angriff/Verteidigung verbessert]
TOOLTIP_PARTY_TITLE_HEAL	[Wiederherstellen]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Mehr als %d Gruppenmitglieder gibt Bonus-EXP %d%%.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus-EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Herbeirufen]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Angreifer festlegen]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Nahkämpfer festlegen]
TOOLTIP_PASSIVE_JOB_DECK	Reliktbonus	SNA
TOOLTIP_PEPSI_EVENT	5% EXP-Bonus und 5% höhere Chance, Gegenstände zu erbeuten.	SNA
TOOLTIP_PICK_EXP	Punkte: %d / %d
TOOLTIP_PICK_LEVEL	Level: %d
TOOLTIP_PICK_UPGRADE1	Dem Holzfäller geben,
TOOLTIP_PICK_UPGRADE2	um eine bessere
TOOLTIP_PICK_UPGRADE3	Spitzhacke zu erhalten.
TOOLTIP_POTION_CURE	Negative Effekte zurücksetzen.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_OF_ELEMENTAL	Schutztrank der Elemente. +5% Magie-/Nahkampfangriff | +10% Elementwiderstände	SNA
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Angriffsgeschwindigkeit +%d
TOOLTIP_POTION_PLUS_ATTBONUS_MONSTER	ANG-BONUS MONSTER : +%d%%
TOOLTIP_POTION_PLUS_ATT_POINT	ANG: +%d
TOOLTIP_POTION_PLUS_ATT_POINT_PER	ANG: +%d%%
TOOLTIP_POTION_PLUS_DEF_POINT	VERT: +%d
TOOLTIP_POTION_PLUS_DEX_POINT	DEX: +%d
TOOLTIP_POTION_PLUS_EXP_BONUS	EXP: +%d%%
TOOLTIP_POTION_PLUS_HIT_DEFEND_POINT	SCHADEN-WIDERSTAND : +%d%%
TOOLTIP_POTION_PLUS_HP_PERCENT	TP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	TP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Bewegungsgeschwindigkeit +%d
TOOLTIP_POTION_PLUS_RESIST_DARK	DUNKEL-RESI : +%d%%
TOOLTIP_POTION_PLUS_RESIST_EARTH	ERD-RESI : +%d%%
TOOLTIP_POTION_PLUS_RESIST_ICE	EIS-RESI : +%d%%
TOOLTIP_POTION_PLUS_RESIST_MAGIC	MAGIE-RESI : +%d%%
TOOLTIP_POTION_PLUS_SP_PERCENT	MP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	MP +%d
TOOLTIP_POTION_PLUS_STR_POINT	STR: +%d
TOOLTIP_POTION_SEC	Sek.
TOOLTIP_POTION_TIME	Dauer:
TOOLTIP_PROTECTION_OF_ELEMENTAL	Immun gegen Elementarfluch	SNA
TOOLTIP_PVP_TOURNAMENT_ENTER	Teilnahme am PvP-Turnier
TOOLTIP_PVP_TOURNAMENT_EXPBONUS	PvP-Turnier EXP +%d%%	SA
TOOLTIP_REQUIREMENT_21_LEVEL	Du musst Level 21 erreicht haben
TOOLTIP_REQUIREMENT_41_LEVEL	Du musst Level 41 erreicht haben
TOOLTIP_REQUIREMENT_LEVEL	Du musst Level %d erreicht haben
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Level %d erforderlich
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d erforderlich
TOOLTIP_RESIST_BOW	Pfeilverteidigung %d%%	SA
TOOLTIP_RESIST_DARK	Widerstand gegen Dunkelheit +%d%%	SA
TOOLTIP_RESIST_EARTH	Erdwiderstand +%d%%	SA
TOOLTIP_RESIST_ELEC	Blitzwiderstand %d%%	SA
TOOLTIP_RESIST_FIRE	Feuerwiderstand %d%%	SA
TOOLTIP_RESIST_ICE	Eiswiderstand +%d%%	SA
TOOLTIP_RESIST_MAGIC	Magiewiderstand %d%%	SA
TOOLTIP_RESIST_MAGIC_REDUCTION	Magiebruch um %d%%	SA
TOOLTIP_RESIST_PER_DARK	Widerstand gegen Dunkelheit (+%d%% d. Gesamtwerts)	SA
TOOLTIP_RESIST_PER_EARTH	Erdwiderstand (+%d%% d. Gesamtwerts)	SA
TOOLTIP_RESIST_PER_ELEC	Blitzwiderstand (+%d%% d. Gesamtwerts)	SA
TOOLTIP_RESIST_PER_FIRE	Feuerwiderstand (+%d%% d. Gesamtwerts)	SA
TOOLTIP_RESIST_PER_HUMAN	Widerstand gegen Halbmenschen (+%d%% d. Gesamtwerts)	SA
TOOLTIP_RESIST_PER_ICE	Eiswiderstand (+%d%% d. Gesamtwerts)	SA
TOOLTIP_RESIST_PER_MAGIC	Magiewiderstand (+%d%% d. Gesamtwerts)	SA
TOOLTIP_RESIST_PER_WIND	Windwiderstand (+%d%% d. Gesamtwerts)	SA
TOOLTIP_REST_USABLE_COUNT	Verbleibend: %d
TOOLTIP_ROLE_PROFICIENCY_LEADER_EFFECT	Anführerbonus: %d%%
TOOLTIP_ROLE_PROFICIENCY_SKILL_LEVEL	Aktuelles Level: %d
TOOLTIP_SEALED	Seelengebunden
TOOLTIP_SEASON_PVE_BUFF	Erhöht PvE-Schaden 10 Min. um 80%.	SNA
TOOLTIP_SEASON_RANKING_BUFF	Erhöht Rangpunkte 10 Min. um 20%.	SNA
TOOLTIP_SECOND_ATTRIBUTE_BONUS	2. hinzugefügter Bonus +%d%%	SA
TOOLTIP_SELLPRICE	Preis: %s
TOOLTIP_SET_ITEM	Set-Bonus	SNA
TOOLTIP_SET_ITEM_1	Heil. 
TOOLTIP_SET_ITEM_2	Prächt. 
TOOLTIP_SET_ITEM_3	Ritt. 
TOOLTIP_SET_ITEM_4	Fürstl. 
TOOLTIP_SET_ITEM_5	Majest. 
TOOLTIP_SHAMAN	Schamane
TOOLTIP_SHIELD	Schild
TOOLTIP_SHOES	Schuhe
TOOLTIP_SKILL	Fertigkeit	SNA
TOOLTIP_SKILLBOOK_NAME	Fertigkeitsbuch
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Angriffswert: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Angriffswert:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Angriffsgeschwindigkeit: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Verteidigung:
TOOLTIP_SKILL_AFFECT_DODGE	Gegnerischer Angriffswert: -
TOOLTIP_SKILL_AFFECT_HEAL	TP wiederherstellen:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Bewegungsgeschwindigkeit: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Chance, Nahkampfangriff zu reflektieren:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Widerstand gegen körperlichen Schaden:
TOOLTIP_SKILL_COOL_TIME	Aufladezeit: 
TOOLTIP_SKILL_DAMAGE_AMSEOP	Schaden von Hinterhalt +%d%%	SA
TOOLTIP_SKILL_DAMAGE_BIPABU	Schaden von Fliegender Talisman +%d%%	SA
TOOLTIP_SKILL_DAMAGE_BONUS	Fertigkeitsschaden %d%%	SA
TOOLTIP_SKILL_DAMAGE_BONUS_BOSS_OR_MORE	Fertigkeitsschaden gegen Bosse +%d%%	SA
TOOLTIP_SKILL_DAMAGE_BYEURAK	Schaden von Blitz heraufbeschwören +%d%%	SA
TOOLTIP_SKILL_DAMAGE_CHAIN	Blitzkrallenschaden +%d%%	SA
TOOLTIP_SKILL_DAMAGE_CHARYUN	Schaden von Degenwirbel +%d%%	SA
TOOLTIP_SKILL_DAMAGE_CHAYEOL	Schaden von Zerreißen +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GEOMPUNG	Schwertschlagschaden +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GIGONGCHAM	Durchschlagsschaden +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GIGUNG	Giftpfeilschaden +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GONGDAB	Schaden von Wolfssprung +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GUNGSIN	Schaden von Blitzangriff +%d%%	SA
TOOLTIP_SKILL_DAMAGE_GYOKSAN	Schaden von Heftiges Schlagen +%d%%	SA
TOOLTIP_SKILL_DAMAGE_HWAJO	Feuerpfeilschaden +%d%%	SA
TOOLTIP_SKILL_DAMAGE_HWAYEOMPOK	Schaden von Flammenschlag +%d%%	SA
TOOLTIP_SKILL_DAMAGE_KWANKYEOK	Pfeilregenschaden +%d%%	SA
TOOLTIP_SKILL_DAMAGE_MAHWAN	Schaden von Dunkler Stein +%d%%	SA
TOOLTIP_SKILL_DAMAGE_MARYUNG	Schaden von Dunkler Schlag +%d%%	SA
TOOLTIP_SKILL_DAMAGE_NOEJEON	Blitzwurfschaden +%d%%	SA
TOOLTIP_SKILL_DAMAGE_PABEOB	Schaden von Zauber aufheben +%d%%	SA
TOOLTIP_SKILL_DAMAGE_PAERYONG	Schaden von Drachengebrüll +%d%%	SA
TOOLTIP_SKILL_DAMAGE_PALBANG	Schaden von Schwertwirbel +%d%%	SA
TOOLTIP_SKILL_DAMAGE_PASWAE	Wolfskrallenschaden +%d%%	SA
TOOLTIP_SKILL_DAMAGE_SALPOONG	Schaden von Atem des Wolfes +%d%%	SA
TOOLTIP_SKILL_DAMAGE_SAMYEON	Dreiwege-Schnitt-Schaden +%d%%	SA
TOOLTIP_SKILL_DAMAGE_SANGONG	Schaden von Giftwolke +%d%%	SA
TOOLTIP_SKILL_DAMAGE_SWAERYUNG	Fingerschlagschaden +%d%%	SA
TOOLTIP_SKILL_DAMAGE_TANHWAN	Schaden von Sausen +%d%%	SA
TOOLTIP_SKILL_DAMAGE_YEONSA	Schaden von Wiederholter Schuss +%d%%	SA
TOOLTIP_SKILL_DAMAGE_YONGBI	Schaden von Drachenschießen +%d%%	SA
TOOLTIP_SKILL_DAMAGE_YONGKWON	Schaden von Drachenwirbel +%d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Widerstand gegen Fertigkeitsschaden %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS_BOSS_OR_MORE	Fertigkeitsschaden von Bossen -%d%%	SA
TOOLTIP_SKILL_DURATION	Dauer: %d Sek.
TOOLTIP_SKILL_DURATION_INCREASE_EUNHYUNG	Dauer von Tarnung +%d Sek.	SA
TOOLTIP_SKILL_DURATION_INCREASE_GEOMKYUNG	Dauer von Aura des Schwertes +%d Sek.	SA
TOOLTIP_SKILL_DURATION_INCREASE_GYEONGGONG	Dauer von Federschreiten +%d Sek.	SA
TOOLTIP_SKILL_DURATION_INCREASE_JEOKRANG	Dauer von Purpurwolfseele +%d Sek.	SA
TOOLTIP_SKILL_FORGET_BOOK_NAME	Buch des Vergessens
TOOLTIP_SKILL_LEVEL	Aktuelles Level: %d
TOOLTIP_SKILL_LEVEL_MASTER	Aktuelles Level: %d (Meister)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Aktuelles Level: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Leer
TOOLTIP_SOCKET_REFINABLE_ITEM	[Gegenstand mit Fassung]
TOOLTIP_SP_REGEN	MP-Regeneration +%d%%	SA
TOOLTIP_STR	Stärke +%d	SA
TOOLTIP_SUNGMA_ATTR_PRIMIUM	SungMa-Willensbooster	SNA
TOOLTIP_SUNGMA_HP	%d SungMa-Wille (VIT) 	SA
TOOLTIP_SUNGMA_IMMUNE	%d SungMa-Wille (INT)	SA
TOOLTIP_SUNGMA_MOVE	%d SungMa-Wille (RES)	SA
TOOLTIP_SUNGMA_PER_HP	%d%% SungMa-Wille (VIT) 	SA
TOOLTIP_SUNGMA_PER_IMMUNE	%d%% SungMa-Wille (INT)	SA
TOOLTIP_SUNGMA_PER_MOVE	%d%% SungMa-Wille (RES)	SA
TOOLTIP_SUNGMA_PER_STR	%d%% SungMa-Wille (STR)	SA
TOOLTIP_SUNGMA_STR	%d SungMa-Wille (STR)	SA
TOOLTIP_SURA	Sura
TOOLTIP_THIRD_ATTRIBUTE_BONUS	3. hinzugefügter Bonus +%d%%	SA
TOOLTIP_TIME_CHARGER_FIX	Zeitaufladung %d Sek.	SA
TOOLTIP_TIME_CHARGER_PER	Zeitaufladung %d%%	SA
TOOLTIP_UNIQUE	Einzigartig
TOOLTIP_UNSEAL_LEFT_TIME	Seelenlösung in: %d Std. %d Min.
TOOLTIP_USE_SKILL_AMSEOP_HP_ABSORB	Absorbiert %d%% TP beim Verwenden von Hinterhalt	SA
TOOLTIP_USE_SKILL_BIPABU_NEXT_COOLTIME_DECREASE_10PER	Abklingzeit Fliegender Talisman: -%d Sek. mit 10%% Chance	SA
TOOLTIP_USE_SKILL_BIPABU_NEXT_COOLTIME_DECREASE_20PER	Abklingzeit Fliegender Talisman: -%d Sekunden mit 20%% Chance	SA
TOOLTIP_USE_SKILL_BYEURAK_HP_ABSORB	Du absorbierst bis zu %d%% TP bei Verwendung von Blitz heraufbeschwören.	SA
TOOLTIP_USE_SKILL_CHAIN_HP_ABSORB	Absorbiert %d%% TP beim Verwenden von Blitzkralle	SA
TOOLTIP_USE_SKILL_CHARYUN_STUN	Degenwirbel betäubt Gegner mit %d%% Chance	SA
TOOLTIP_USE_SKILL_CHAYEOL_CRITICAL_PCT	Erhöhe Chance auf Kritischen Angriff für %d Sek. bei Verwendung von Zerreißen	SA
TOOLTIP_USE_SKILL_CHAYEOL_HP_ABSORB	Absorbiert %d%% TP beim Verwenden von Zerreißen	SA
TOOLTIP_USE_SKILL_CHEONGRANG_CASTING_SPEED	Erhöhe Zaubergeschwindigkeit für %d Sek. bei Verwendung von Indigowolfseele	SA
TOOLTIP_USE_SKILL_CHEONGRANG_MOV_SPEED	Erhöhe Bewegungsgeschwindigkeit für %d Sek. bei Verwendung von Indigowolfseele	SA
TOOLTIP_USE_SKILL_CHUNKEON_CASTING_SPEED	Erhöhe Zaubergeschwindigkeit für %d Sek. bei Verwendung von Starker Körper	SA
TOOLTIP_USE_SKILL_COOLTIME_DECREASE_ALL	Setzt mit einer Chance von %d%% die Abklingzeiten deiner Skills zurück	SA
TOOLTIP_USE_SKILL_GEOMPUNG_NEXT_COOLTIME_DECREASE_10PER	Abklingzeit Schwertschlag: -%d Sek. mit 10%% Chance	SA
TOOLTIP_USE_SKILL_GEOMPUNG_NEXT_COOLTIME_DECREASE_20PER	Abklingzeit Schwertschlag: -%d Sekunden mit 20%% Chance	SA
TOOLTIP_USE_SKILL_GICHEON_ATT_GRADE_BONUS	Erhalte Angriffsbonus für %d Sek. bei Verwendung von Hilfe des Drachen	SA
TOOLTIP_USE_SKILL_GIGONGCHAM_STUN	Durchschlag betäubt Gegner mit %d%% Chance	SA
TOOLTIP_USE_SKILL_GIGUNG_ATT_GRADE_BONUS	Erhalte Angriffsbonus für %d Sek. bei Verwendung von Giftpfeil	SA
TOOLTIP_USE_SKILL_GIHYEOL_ATT_GRADE_BONUS	Erhalte Angriffsbonus für %d Sek. bei Verwendung von Lebenswille	SA
TOOLTIP_USE_SKILL_GONGDAB_KNOCKBACK	Wolfssprung schlägt Gegner mit einer Chance von %d%% zurück	SA
TOOLTIP_USE_SKILL_GONGDAB_STUN	Wolfssprung betäubt Gegner mit %d%% Chance	SA
TOOLTIP_USE_SKILL_GUNGSIN_NEXT_COOLTIME_DECREASE_10PER	Abklingzeit Blitzangriff: -%d Sek. mit 10%% Chance	SA
TOOLTIP_USE_SKILL_GUNGSIN_NEXT_COOLTIME_DECREASE_20PER	Abklingzeit Blitzangriff: -%d Sekunden mit 20%% Chance	SA
TOOLTIP_USE_SKILL_GWIGEOM_DEF_BONUS	Erhalte Verteidigungsbonus für %d Sek. bei Verwendung von Verzauberte Klinge	SA
TOOLTIP_USE_SKILL_GYOKSAN_KNOCKBACK	Heftiges Schlagen schlägt Gegner mit einer Chance von %d%% zurück	SA
TOOLTIP_USE_SKILL_HOSIN_DEF_BONUS	Erhalte Verteidigungsbonus für %d Sek. bei Verwendung von Segen	SA
TOOLTIP_USE_SKILL_HWAYEOMPOK_KNOCKBACK	Flammenschlag schlägt Gegner mit einer Chance von %d%% zurück	SA
TOOLTIP_USE_SKILL_JEOKRANG_DEF_BONUS	Erhalte Verteidigungsbonus für %d Sek. bei Verwendung von Purpurwolfseele	SA
TOOLTIP_USE_SKILL_JEONGEOP_ATT_GRADE_BONUS	Erhalte Angriffsbonus für %d Sek. bei Verwendung von Kurieren	SA
TOOLTIP_USE_SKILL_JEUNGRYEOK_DEF_BONUS	Erhalte Verteidigungsbonus für %d Sek. bei Verwendung von Angriff+	SA
TOOLTIP_USE_SKILL_KWANKYEOK_KNOCKBACK	Pfeilregen schlägt Gegner mit einer Chance von %d%% zurück	SA
TOOLTIP_USE_SKILL_KWANKYEOK_NEXT_COOLTIME_DECREASE_10PER	Abklingzeit Pfeilregen: -%d Sek. mit 10%% Chance	SA
TOOLTIP_USE_SKILL_KWANKYEOK_NEXT_COOLTIME_DECREASE_20PER	Abklingzeit Pfeilregen: -%d Sekunden mit 20%% Chance	SA
TOOLTIP_USE_SKILL_MAHWAN_STUN	Dunkler Stein betäubt Gegner  mit %d%% Chance	SA
TOOLTIP_USE_SKILL_MANASHILED_CASTING_SPEED	Erhöhe Zaubergeschwindigkeit für %d Sek. bei Verwendung von Dunkler Schutz	SA
TOOLTIP_USE_SKILL_MARYUNG_NEXT_COOLTIME_DECREASE_10PER	Abklingzeit Dunkler Schlag: -%d Sek. mit 10%% Chance	SA
TOOLTIP_USE_SKILL_MARYUNG_NEXT_COOLTIME_DECREASE_20PER	Abklingzeit Dunkler Schlag: -%d Sekunden mit 20%% Chance	SA
TOOLTIP_USE_SKILL_MUYEONG_ATT_GRADE_BONUS	Erhalte Angriffsbonus für %d Sek. bei Verwendung von Geist der Flamme	SA
TOOLTIP_USE_SKILL_NOEGEOM_ATT_GRADE_BONUS	Erhalte Angriffsbonus für %d Sek. bei Verwendung von Schwertzirkel	SA
TOOLTIP_USE_SKILL_NOEJEON_NEXT_COOLTIME_DECREASE_10PER	Abklingzeit Blitzwurf: -%d Sek. mit 10%% Chance	SA
TOOLTIP_USE_SKILL_NOEJEON_NEXT_COOLTIME_DECREASE_20PER	Abklingzeit Blitzwurf: -%d Sekunden mit 20%% Chance	SA
TOOLTIP_USE_SKILL_PABEOB_STUN	Zauber aufheben betäubt Gegner mit %d%% Chance	SA
TOOLTIP_USE_SKILL_PAERYONG_HP_ABSORB	Absorbiert %d%% TP beim Verwenden von Drachengebrüll	SA
TOOLTIP_USE_SKILL_PALBANG_HP_ABSORB	Absorbiert %d%% TP beim Verwenden von Schwertwirbel	SA
TOOLTIP_USE_SKILL_PASWAE_NEXT_COOLTIME_DECREASE_10PER	Abklingzeit Wolfskralle: -%d Sek. mit 10%% Chance	SA
TOOLTIP_USE_SKILL_PASWAE_NEXT_COOLTIME_DECREASE_20PER	Abklingzeit Wolfskralle: -%d Sekunden mit 20%% Chance	SA
TOOLTIP_USE_SKILL_PASWAE_SP_ABSORB	Absorbiert %d%% MP beim Verwenden von Wolfskralle	SA
TOOLTIP_USE_SKILL_SALPOONG_NEXT_COOLTIME_DECREASE_10PER	Abklingzeit Atem des Wolfes: -%d Sek. mit 10%% Chance	SA
TOOLTIP_USE_SKILL_SALPOONG_NEXT_COOLTIME_DECREASE_20PER	Abklingzeit Atem des Wolfes: -%d Sekunden mit 20%% Chance	SA
TOOLTIP_USE_SKILL_SAMYEON_NEXT_COOLTIME_DECREASE_10PER	Abklingzeit Dreiwege-Schnitt: -%d Sek. mit 10%% Chance	SA
TOOLTIP_USE_SKILL_SAMYEON_NEXT_COOLTIME_DECREASE_20PER	Abklingzeit Dreiwege-Schnitt: -%d Sekunden mit 20%% Chance	SA
TOOLTIP_USE_SKILL_SAMYEON_STUN	Dreiwege-Schnitt betäubt Gegner mit %d%% Chance	SA
TOOLTIP_USE_SKILL_SANGONG_ATT_GRADE_BONUS	Erhalte Angriffsbonus für %d Sek. bei Verwendung von Giftwolke	SA
TOOLTIP_USE_SKILL_SEOMJEON_KNOCKBACK	Schleichendes Gift schlägt Gegner mit einer Chance von %d%% zurück	SA
TOOLTIP_USE_SKILL_SWAERYUNG_KNOCKBACK	Fingerschlag schlägt Gegner mit einer Chance von %d%% zurück	SA
TOOLTIP_USE_SKILL_TERROR_ATT_GRADE_BONUS	Erhalte Angriffsbonus für %d Sek. bei Verwendung von Furcht	SA
TOOLTIP_USE_SKILL_TUSOK_HP_ABSORB	Absorbiert %d%% TP beim Verwenden von Geisterschlag	SA
TOOLTIP_USE_SKILL_YEONSA_HP_ABSORB	Absorbiert %d%% TP beim Verwenden von Wiederholter Schuss	SA
TOOLTIP_USE_SKILL_YONGBI_HP_ABSORB	Absorbiert %d%% TP beim Verwenden von Drachenschießen	SA
TOOLTIP_USE_SKILL_YONGKWON_NEXT_COOLTIME_DECREASE_10PER	Abklingzeit Drachenwirbel: -%d Sek. mit 10%% Chance	SA
TOOLTIP_USE_SKILL_YONGKWON_NEXT_COOLTIME_DECREASE_20PER	Abklingzeit Drachenwirbel: -%d Sekunden mit 20%% Chance	SA
TOOLTIP_WARRIOR	Krieger
TOOLTIP_WEAPON	Waffe
TOOLTIP_WOLFMAN	Lykaner
TOOLTIP_WRISTLET	Armband
UI_ACCEPT	Annehmen
UI_BOLD_FONT	Tahoma:12b
UI_CANCEL	Abbruch
UI_CLOSE	Schließen
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_SLARGE	Tahoma:13
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_XLARGE	Tahoma:20
UI_DEF_FONT_XXLARGE	Tahoma:34
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Ablehnen
UI_ITEM	Gegenstand
UI_LEFT_TIME	Verbleibende Zeit: %d Sek.
UI_NEXT	Weiter
UI_NEXTPAGE	Weiter
UI_NOCONTENTS	Kein Inhalt
UI_NONAME	Kein Name
UI_OK	OK
UI_POS_UNKNOWN	Unbekannter Ort
UI_PREVPAGE	Zurück
UI_UNKNOWN	Unbekannt
UNLIMIT_ENTER_CZ_QUESTION	Du darfst den Zodiak-Tempel für %d Min. betreten. Möchtest du es verwenden?
UPDATE_TIME	Datum
UPLOAD_MARK_CHECK_NEED_RECONNECT	Der Upload muss neu gestartet werden.
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Der Upload muss neu gestartet werden.
USE_ITEM_BUTTON_01	Abbrechen
USE_ITEM_BUTTON_02	Betreten
USE_ITEM_FAILURE_PRIVATE_SHOP	Du kannst keine Gegenstände verwenden, solange du einen privaten Laden geöffnet hast.
USE_ITEM_POPUP_01	Die Schlacht der fünf Schreine ist beendet. \n Nächste Schlacht:
USE_ITEM_QUESTION_01	Möchtest du an der Schlacht der fünf Schreine teilnehmen?
USE_ITEM_QUESTION_02	Möchtest du an den Ort zurückkehren, an dem du getötet wurdest?\n Das kostet dich %s Yang.
USE_ITEM_QUESTION_03	Du wirst an eine zufällige Position teleportiert. Möchtest du eintreten?
USE_ITEM_QUESTION_04	Sobald du die Schlacht der fünf Schreine betrittst, werden all deine Buffs deaktiviert.\nDu wirst an eine zufällige Stelle teleportiert.\nMöchtest du eintreten?
USE_ITEM_QUESTION_05	Sobald du die Schlacht der fünf Schreine betrittst, werden all deine Buffs deaktiviert.\nMöchtest du an die Stelle zurückkehren, an der du gestorben bist?\nKosten: %s Yang.
USE_SKILL_ERROR_UNKNOWN	Unbekannter Fertigkeitsfehler: %s
WORLD_BOSS_STATE_BOSS_KILLED	Entkommen
WORLD_BOSS_STATE_BOSS_SPAWNED	Erschienen
WORLD_BOSS_STATE_BREAK_TIME	Abklingzeit
WORLD_BOSS_STATE_WAIT_FOR_SPAWN	Noch nicht erschienen
WORLD_BOSS_TIER_1_SYMBOL	I
WORLD_BOSS_TIER_2_SYMBOL	II
WORLD_BOSS_TIER_3_SYMBOL	III
